File_Name,Museum,Species,Tribe,Common Name ,Specimen,Surface,Image,Lintulaakso 2023 (Diet) ,Column1,L&K 2016,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23
A_buselaphus_27999_lower_lingual_molars,Tervuren,Alcelaphus buselaphus ,Alcelaphini,Hartebeest,27999,lingual lower,molar,grazer,grazer,grazer,0,0,28,18,56,34,74,62,96,90,120,110,140,138,160,164,182,192,204,210,236,226,270,232,302,228,334,220,362,198,380,168,396,140,414,114,430,84,452,58,476,36,504,20,534,6
A_lervia_37874_lower_lingual_tooth row,Tervuren,Ammotragus lervia,Caprini,Barbary sheep,37874,lingual lower,row,grazer,grazer,browser,0,0,16,16,36.0805,26.3843,56.0631,40.3721,76.0457,52.3616,92.0317,68.3477,129.9987,100.3198,165.9673,130.2938,187.9482,144.2816,207.9308,154.2728,225.9152,166.2624,249.8942,174.2554,273.8734,168.2607,281.8664,164.2642,291.8577,158.2693,311.8403,148.2781,321.8316,140.285,333.8212,134.2902,353.8038,128.2955,375.7846,116.3059,397.7654,108.3129,417.748,94.3251,441.7272,88.3303
A_melampus_1932.6.6.32_lower_lingual_tooth row,London,Aepyceros melampus,Aepycerotini,Impala,1932.6.6.32,lingual lower,row,grazer-browser,grazer-browser,browser,0,0,22.3348,7.4449,42.8085,20.4736,65.1433,33.5023,83.7557,44.6697,102.368,59.5596,119.1192,78.1719,134.0091,91.2006,152.6215,106.0905,172.6795,119.5829,197.2911,124.7029,221.4872,130.2866,243.6795,119.5829,262.4344,111.6742,279.1855,93.0618,294.0754,74.4495,3108254,5.5596,327.5777,42.8084,348.0513,26.0573,362.9412,11.1674,388.9985,7.4449,411.3333,-1.8613,433.6682,-1.8613
A_melampus_1967.11.8.1_lower_lingual_tooth row,London,Aepyceros melampus,Aepycerotini,Impala,1967.11.8.1,lingual lower,row,grazer-browser,grazer-browser,browser,0,0,13.2019,9.9014,26.4039,19.8029,39.6058,31.3546,49.5073,44.5565,59.4087,56.1082,70.9604,70.9604,82.4121,84.6123,90.7633,99.0145,97.3643,113.8666,113.8667,112.1179,128.7188,130.3691,145.2213,123.7681,160.0735,115.5169,174.9256,107.2657,188.1275,100.6647,204.63,94.0637,219.4821,84.1623,234.3343,74.2609,249.1865,67.6599,264.0387,61.0589,278.8908,52.8077,292.0927,42.9062
A_melampus_1968.6.20.1_lower_lingual_tooth row,London,Aepyceros melampus,Aepycerotini,Impala,1968.6.20.1,lingual lower,row,grazer-browser,grazer-browser,browser,0,0,15.5,8.5,33.5,18.5,49.5,30.5,63.5,42.5,77.5,54.5,93.5,68.5,107.5,78.5,125.5,88.5,141.5,98.5,159.5,108.5,177.5,114.5,191.5,102.5,207.5,90.5,221.5,78.5,237.5,66.5,255.5,58.5,271.5,50.5,289.5,40.5,301.5,26.5,313.5,10.5,321.2173,0.8966,325.5,-5.5
A_melampus_69.1142_lower_lingual_tooth row,London,Aepyceros melampus,Aepycerotini,Impala,69.1142,lingual lower,row,grazer-browser,grazer-browser,browser,0,0,20,6,36,18,50,32,64,46,76,62,86,80,96,96,108,112,120,128,136,140,156,144,176,140,192,128,208,116,224,106,240,94,258,84,276,74,294,66,312,62,332,54,352,54
A_nasomaculatus_113812_lower_lingual_molars right side extra photo,AMNH,Addax nasomaculatus,Hippotragini,Addax,113812,lingual lower,molar,browser-grazer,browser-grazer,grazer,0,0,18,20,50,60,66,80,82,100,98,118,112,140,124,160,136,186,150,204,166,228,190,234,214,230,222,230,238,224,258,212,282,186,300,180,318,160,334,142,352,122,370,106,392,92
B_bison_bison_A22375_lingual_lower_molars,Smithsonian,Bison bison,Bovini,American bison,A22375,lingual lower,molar,grazer,grazer,grazer,0,0,16.4773,12.8157,32.9546,31.1238,45.7702,36.6161,51.2626,47.601,64.0783,62.2475,82.3864,78.7248,100.6945,98.8636,115.3409,113.5101,131.8182,131.8182,153.7879,144.6339,173.9268,150.1263,199.5581,146.4647,221.5278,139.1414,243.4975,131.8182,263.6364,119.0026,296.5909,87.8788,314.899,71.4016,333.2071,56.7551,351.5152,43.9394,369.8232,29.293,386.3005,12.8157,411.9318,7.3232
B_bison_bison_A22377_lingual_lower_molars,Smithsonian,Bison bison,Bovini,American bison,A22377,lingual lower,molar,grazer,grazer,grazer,0,0,10.2069,-2.369,18.0466,0,34.088,-10.0259,48.1241,26.0673,58.15,36.0931,72.1862,56.1448,82.2121,68.1758,96.2483,80.2069,108.2793,88.2276,120.3104,90.2328,134.2069,90.631,152.2069,92.631,172.4448,86.2224,188.4862,82.2121,214.5535,76.1965,244.631,64.1655,260.6724,54.1396,276.7138,42.1086,300.7759,32.0828,318.8224,28.0724,346.8948,24.0621,366.9466,18.0466
B_depressicornis_43541catb_lingual_lower_molars,Leiden,Bubalus depressicornis,Bovini,Lowland anoa,43541catb,lingual lower,molar,grazer-browser,grazer-browser,mixed feeder,0,0,26.7855,21.0458,55.4843,38.2651,76.5301,59.3109,76.5301,59.3109,88.0096,93.7494,114.7952,149.2338,126.2747,177.9326,145.4072,206.6313,162.6265,231.5037,181.759,258.2892,212.3711,273.5952,244.8964,267.855,273.5952,252.5494,292.7277,229.5904,309.947,202.8049,327.1663,172.1928,340.559,145.4073,357.7783,120.535,378.8241,93.7494,405.6096,74.6169,434.3084,59.3109,464.9205,57.3976
